code,date,floor,close,nmVolume,nmValue,change,pctChange
TCB,2021-11-30,HOSE,51.8,24494700.0,1277234980000.0,-0.5,-0.956
TCB,2021-11-29,HOSE,52.3,28236300.0,1486598180000.0,-1.7,-3.1481
TCB,2021-11-26,HOSE,54.0,21915600.0,1197295930000.0,-0.9,-1.6393
TCB,2021-11-25,HOSE,54.9,17981000.0,993472630000.0,-0.6,-1.0811
TCB,2021-11-24,HOSE,55.5,52375300.0,2832804300000.0,2.9,5.5133
TCB,2021-11-23,HOSE,52.6,10596400.0,559089560000.0,-0.5,-0.9416
TCB,2021-11-22,HOSE,53.1,23613400.0,1263582820000.0,0.8,1.5296
TCB,2021-11-19,HOSE,52.3,29907300.0,1567944210000.0,0.8,1.5534
TCB,2021-11-18,HOSE,51.5,12833900.0,664065010000.0,-0.7,-1.341
TCB,2021-11-17,HOSE,52.2,12113200.0,629570970000.0,0.2,0.3846
TCB,2021-11-16,HOSE,52.0,12519700.0,653584110000.0,0.0,0.0
TCB,2021-11-15,HOSE,52.0,11079700.0,580414510000.0,-0.5,-0.9524
TCB,2021-11-12,HOSE,52.5,12719800.0,657666640000.0,1.0,1.9417
TCB,2021-11-11,HOSE,51.5,21838500.0,1123703350000.0,-0.2,-0.3868
TCB,2021-11-10,HOSE,51.7,19484600.0,1014086820000.0,-0.6,-1.1472
TCB,2021-11-09,HOSE,52.3,21533900.0,1136179950000.0,-0.3,-0.5703
TCB,2021-11-08,HOSE,52.6,21189500.0,1116373040000.0,-0.4,-0.7547
TCB,2021-11-05,HOSE,53.0,13453700.0,713015000000.0,-0.3,-0.5629
TCB,2021-11-04,HOSE,53.3,18683600.0,994972110000.0,-0.4,-0.7449
TCB,2021-11-03,HOSE,53.7,39738000.0,2118201650000.0,2.1,4.0698
TCB,2021-11-02,HOSE,51.6,15468300.0,798566320000.0,0.0,0.0
TCB,2021-11-01,HOSE,51.6,25398000.0,1315917990000.0,0.0,0.0
TCB,2021-10-29,HOSE,51.6,12744400.0,657819580000.0,-0.2,-0.3861
TCB,2021-10-28,HOSE,51.8,13859600.0,716636150000.0,0.3,0.5825
TCB,2021-10-27,HOSE,51.5,16750100.0,860192270000.0,0.5,0.9804
TCB,2021-10-26,HOSE,51.0,20157800.0,1016998690000.0,0.1,0.1965
TCB,2021-10-25,HOSE,50.9,28527000.0,1464419550000.0,-1.4,-2.6769
TCB,2021-10-22,HOSE,52.3,11640600.0,612795690000.0,-0.6,-1.1342
TCB,2021-10-21,HOSE,52.9,15317400.0,816926190000.0,-0.3,-0.5639
TCB,2021-10-20,HOSE,53.2,22695300.0,1205217610000.0,0.5,0.9488
TCB,2021-10-19,HOSE,52.7,14167300.0,746444970000.0,-0.2,-0.3781
TCB,2021-10-18,HOSE,52.9,15018000.0,797870780000.0,0.3,0.5703
TCB,2021-10-15,HOSE,52.6,11950400.0,629363860000.0,0.1,0.1905
TCB,2021-10-14,HOSE,52.5,19788700.0,1039164080000.0,0.1,0.1908
TCB,2021-10-13,HOSE,52.4,14188100.0,748479170000.0,-0.6,-1.1321
TCB,2021-10-12,HOSE,53.0,14216500.0,753561980000.0,0.0,0.0
TCB,2021-10-11,HOSE,53.0,23096400.0,1207575090000.0,2.3,4.5365
TCB,2021-10-08,HOSE,50.7,7634900.0,385622670000.0,0.7,1.4
TCB,2021-10-07,HOSE,50.0,5414900.0,272705550000.0,-0.3,-0.5964
TCB,2021-10-06,HOSE,50.3,8579800.0,427175990000.0,1.2,2.444
TCB,2021-10-05,HOSE,49.1,5889900.0,288172120000.0,0.75,1.5512
TCB,2021-10-04,HOSE,48.35,9510600.0,461012665000.0,-0.65,-1.3265
TCB,2021-10-01,HOSE,49.0,6502800.0,320387825000.0,-0.6,-1.2097
TCB,2021-09-30,HOSE,49.6,5275100.0,263541290000.0,0.2,0.4049
TCB,2021-09-29,HOSE,49.4,5676700.0,279718960000.0,-0.4,-0.8032
TCB,2021-09-28,HOSE,49.8,5568700.0,274512625000.0,0.3,0.6061
TCB,2021-09-27,HOSE,49.5,6850300.0,344849340000.0,-1.1,-2.1739
TCB,2021-09-24,HOSE,50.6,7364700.0,374496130000.0,0.4,0.7968
TCB,2021-09-23,HOSE,50.2,8627900.0,435571610000.0,-0.3,-0.5941
